"panel_code","panel_name"
"101","Strojírenství"
"102","Elektrotechnika a kybernetika"
"103","Stavebnictví, architektura a doprava"
"104","Technická chemie"
"105","Hornictví"
"106","Hutnictví a materiálové inženýrství"
"201","Matematika a informatika"
"202","Fyzika"
"203","Chemie"
"204","Buněčná a molekulární biologie"
"205","Vědy o Zemi a vesmíru"
"206","Obecná a ekologická biologie"
"301","Molekulární biologie, genetika, experimentální onkologie"
"303","Biochemie, metabolismus a výživa"
"304","Morfologické obory a experimentální chirurgie"
"305","Fyziologické obory, farmakologie, toxikologie"
"309","Neurovědy"
"310","Mikrobiologie, imunologie, epidemiologie a hygiena"
"401","Filosofie, teologie a religionistika"
"402","Ekonomické vědy"
"403","Sociologie"
"404","Historické vědy, národopis"
"405","Lingvistika a literární vědy"
"406","Psychologie, pedagogika"
"407","Právní vědy, politologie"
"408","Estetika, hudební věda a vědy o umění"
"409","Dějiny 19. a 20. století"
"521","Rostlinná produkce, genetika a šlechtění"
"522","Rostlinolékařství, fyziologie rostlin"
"523","Živočišná produkce, genetika a šlechtění"
"524","Fyziologie a patologie zvířat"
"525","Zemědělské produkty, potravinářství a ekotoxikologie"
"526","Péče o krajinu, lesy, půda"
